Cls,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8
1,3.0000,3.2141,3.6316,4.1971,4.6018,4.9336,5.2425,5.3548
1,3.0000,3.4271,3.7245,4.3464,4.5884,5.0145,5.4113,5.8593
1,3.0000,3.5945,3.7631,4.1569,4.2088,4.5421,4.8325,5.2184
1,3.0000,3.1517,3.3919,3.8888,4.3470,4.7622,5.1955,5.5015
1,3.0000,3.2064,3.3948,3.7452,3.8854,4.1723,4.3992,4.7011
1,3.0000,3.1142,3.4000,3.6406,4.0985,4.3827,4.7511,5.1783
1,3.0000,3.3022,3.4767,3.8711,4.0854,4.3820,4.6598,5.0039
1,3.0000,3.3023,3.6130,3.9591,4.4249,5.1075,5.4428,5.8463
1,3.0000,3.3651,3.6371,4.0168,4.0392,4.3506,4.5739,5.0707
1,3.0000,3.3586,3.6853,3.8965,4.0443,4.4633,4.6195,4.7814
1,3.0000,3.1713,3.4337,3.7613,4.2049,4.5328,4.6967,5.0059
1,3.0000,3.4141,3.7943,3.8579,4.1614,4.4117,4.5895,4.8979
1,3.0000,3.3433,3.8889,4.0662,4.2546,4.4830,4.7716,5.1162
1,3.0000,3.5648,3.9812,4.1761,4.5774,4.9799,5.4774,5.4774
1,3.0000,3.2969,3.6132,4.0480,4.5724,4.6585,5.1166,5.6104
1,3.0000,3.4157,3.6766,3.9797,4.4540,4.8223,5.0529,5.1770
1,3.0000,3.4146,3.4687,3.5706,3.7428,3.8501,3.9911,4.4696
1,3.0000,3.3674,3.6238,3.8908,4.3530,4.7451,5.0609,5.4751
1,3.0000,3.0005,3.0767,3.3374,3.9108,4.2812,4.3808,4.6984
1,3.0000,3.3867,3.6667,3.9171,4.0888,4.4161,4.5356,4.6968
1,3.0000,3.2992,3.8863,3.8863,4.0895,4.4929,4.8099,5.2448
1,3.0000,3.2335,3.5890,3.8791,4.1153,4.4255,4.6446,5.0208
1,3.0000,3.3087,3.4179,3.7167,4.1510,4.3208,4.4507,4.6018
1,3.0000,3.2411,3.7645,4.0032,4.2416,4.4816,4.9224,5.5476
1,3.0000,3.5900,3.8084,4.0312,4.5884,4.5884,4.7320,5.0896
1,3.0000,3.3260,3.8813,4.0889,4.1405,4.4337,4.9203,5.2116
1,3.0000,3.5535,4.0790,4.4224,4.6173,4.8739,5.2092,5.5380
1,3.0000,3.1245,3.4555,3.4555,3.6738,4.2156,4.5511,5.1104
1,3.0000,3.4913,3.6200,3.8764,4.1172,4.1646,4.7522,5.1587
1,3.0000,3.4485,3.6196,3.7289,3.8945,4.3180,4.4909,4.7165
1,3.0000,3.1498,3.5859,4.0569,4.2557,4.3678,4.8127,5.2920
1,3.0000,3.2617,3.3969,3.8728,4.0188,4.2708,4.4333,4.9864
1,3.0000,3.2818,3.6862,4.1063,4.4199,4.8024,5.2347,5.4882
1,3.0000,3.3986,3.5851,3.7358,3.8291,4.0947,4.4303,4.8102
1,3.0000,3.2159,3.2159,3.6844,3.9218,4.0478,4.4786,4.8663
1,3.0000,3.4888,3.9083,4.3416,4.4360,4.5816,4.7433,5.2640
1,3.0000,3.1592,3.5147,3.7489,3.9059,4.2643,4.5658,4.7006
1,3.0000,3.3033,3.3033,3.5208,3.8353,4.0485,4.3193,4.4976
1,3.0000,3.2821,3.4162,3.7076,3.9129,4.3939,4.6941,4.7276
1,3.0000,3.0774,3.4616,3.7222,4.1567,4.1567,4.3741,4.6380
1,3.0000,3.3651,3.5222,3.7982,3.9178,4.4049,4.6023,5.0808
1,3.0000,3.3714,3.7216,3.9762,4.3812,4.6844,4.9118,5.3681
1,3.0000,3.1594,3.5105,3.8716,3.9432,4.0266,4.4071,4.4071
1,3.0000,3.1162,3.7736,3.7991,4.2082,4.3625,4.6318,5.1153
1,3.0000,3.2898,3.5875,3.6376,3.8951,4.0686,4.2354,4.3255
1,3.0000,3.2940,3.5752,3.9283,4.3684,4.5016,5.0790,5.4820
1,3.0000,3.2201,3.4130,3.7254,3.9541,4.4417,4.8490,4.9533
1,3.0000,3.5317,3.7129,4.0335,4.4038,4.4038,4.8538,5.1362
1,3.0000,3.4201,3.7833,4.1680,4.4726,4.8526,5.0774,5.5500
1,3.0000,3.2185,3.4716,3.7640,4.0434,4.1216,4.5533,4.6815
1,3.0000,3.0144,3.4155,3.6650,4.0025,4.3481,4.4569,4.6425
1,3.0000,3.1528,3.3407,3.4919,3.7773,4.0888,4.5097,5.0208
1,3.0000,3.2714,3.7308,3.9953,4.4988,4.6888,5.1576,5.4024
1,3.0000,3.2112,3.4948,3.7029,4.0344,4.3724,4.6451,4.7309
1,3.0000,3.4612,3.8218,4.0985,4.5787,4.9412,5.5619,5.7850
1,3.0000,3.2988,3.5693,3.7652,4.2389,4.6406,5.0413,5.6712
1,3.0000,3.0780,3.4266,3.6395,4.1239,4.5743,4.9392,5.2866
1,3.0000,3.3882,3.8768,4.2074,4.2664,4.7098,5.1036,5.4892
1,3.0000,3.3229,3.6789,4.1512,4.4867,5.0066,5.1290,5.1290
1,3.0000,3.2324,3.5640,3.7839,4.1311,4.4110,4.7633,5.1519
1,3.0000,3.0744,3.2815,3.8182,4.4698,4.7026,4.8099,5.2358
1,3.0000,3.4683,3.6396,4.0284,4.4495,4.7342,4.9847,5.2769
1,3.0000,3.1724,3.5013,3.9644,4.3089,4.6474,5.0132,5.3585
1,3.0000,3.3939,3.7540,3.9951,4.2202,4.4921,4.7279,4.9525
1,3.0000,3.6393,3.9838,4.3464,4.6802,4.9262,5.0068,5.3651
1,3.0000,3.4911,3.8880,4.0219,4.3181,4.6502,4.7338,4.9722
1,3.0000,3.2810,3.8261,4.3998,4.5911,4.9521,5.3287,5.7540
1,3.0000,3.1883,3.3091,3.6096,4.0522,4.2755,4.5738,4.8295
1,3.0000,3.2229,3.7676,4.4529,4.7139,4.9600,5.1411,5.3007
1,3.0000,3.2193,3.4374,3.6442,3.8721,4.2778,4.5014,5.1271
1,3.0000,3.1548,3.3675,3.5523,3.8498,4.0898,4.4565,4.8580
1,3.0000,3.3960,3.6825,3.9522,4.1773,4.7055,4.7998,5.0036
1,3.0000,3.3170,3.8051,4.0738,4.3149,4.5609,4.7821,5.1421
1,3.0000,3.3836,3.5741,4.1006,4.4460,4.8608,5.1123,5.4717
1,3.0000,3.2497,3.7462,4.0603,4.4020,4.6710,5.0440,5.4249
1,3.0000,3.3486,3.3486,3.8015,4.0329,4.4655,4.7162,4.9709
1,3.0000,3.3575,3.6719,4.0379,4.2333,4.4562,4.6973,4.8366
1,3.0000,3.4473,3.9612,4.2400,4.6738,4.8770,5.2828,5.6116
1,3.0000,3.0789,3.6230,3.8072,4.2280,4.5494,4.6974,4.9774
1,3.0000,3.3321,3.5988,4.0050,4.3917,4.6431,4.8844,5.3174
1,3.0000,3.2318,3.3993,3.7753,3.9549,3.9690,4.3287,4.5594
1,3.0000,3.3625,3.5644,3.8184,4.0326,4.3471,4.6395,4.6395
1,3.0000,3.1790,3.3270,3.4676,3.8792,3.8792,3.9793,4.2089
1,3.0000,3.3728,3.6434,3.6761,3.8588,4.3108,4.5616,4.9554
1,3.0000,3.6104,3.8859,4.1001,4.7427,5.3377,5.7954,6.0448
1,3.0000,3.6738,4.0215,4.0342,4.4381,4.9108,5.1699,5.7708
1,3.0000,3.2208,3.4199,3.6298,3.8036,4.0352,4.2578,4.6372
1,3.0000,3.6515,3.8755,3.8755,3.8755,4.2088,4.2389,4.5299
1,3.0000,3.0429,3.3141,3.7843,3.8267,4.1273,4.4017,4.7672
1,3.0000,3.2511,3.4827,4.0540,4.4765,4.8546,5.2863,5.5891
1,3.0000,3.2661,3.8267,3.9858,4.1530,4.3429,4.8443,5.0684
1,3.0000,3.1024,3.4534,3.6035,3.8011,4.0202,4.5516,4.8206
1,3.0000,3.1529,3.4652,3.7354,4.1445,4.3943,4.8378,5.3049
1,3.0000,3.3356,3.5848,3.8738,4.2320,4.5078,4.9139,5.3006
1,3.0000,3.4938,3.5926,3.8094,4.0225,4.3083,4.7156,4.9533
1,3.0000,3.3277,3.5570,3.7952,3.8858,4.2617,4.6626,4.8523
1,3.0000,3.3472,3.7858,4.2161,4.8843,5.2468,5.5585,5.7396
1,3.0000,3.0021,3.4050,3.8034,4.4060,4.9858,5.4585,5.7372
1,3.0000,3.4203,3.8263,4.1902,4.6476,4.8833,5.1972,5.4536
1,3.0000,3.2664,3.2761,3.6045,3.7171,4.2600,4.5481,4.8328
1,3.0000,3.3405,3.7279,4.1826,4.6726,5.2703,5.6706,5.9198
1,3.0000,3.3633,3.7572,4.3331,4.6439,4.9240,5.2678,5.7544
1,3.0000,3.0000,3.2999,3.4800,3.5933,4.1479,4.3932,4.8220
1,3.0000,3.3039,3.4702,3.8511,4.0001,4.2534,4.6388,4.7794
1,3.0000,3.4902,3.5455,3.5505,3.8253,4.0337,4.3191,4.4149
1,3.0000,3.1714,3.5290,3.7413,4.1371,4.4167,4.4167,5.0344
1,3.0000,3.1651,3.2666,3.6610,4.0139,4.4415,4.4804,4.8561
1,3.0000,3.4815,3.8615,4.2298,4.2298,4.7877,4.9768,5.3982
1,3.0000,3.4683,3.7632,4.1910,4.4857,4.7279,5.0380,5.2573
1,3.0000,3.0794,3.1992,3.4966,3.8291,4.5017,4.6012,4.9736
1,3.0000,3.0462,3.5984,3.7751,4.0026,4.4140,4.5725,4.6557
1,3.0000,3.4070,3.5857,3.7714,4.1342,4.5872,4.7720,4.8514
1,3.0000,3.3255,3.7063,4.0197,4.4487,4.6523,4.7993,4.9337
1,3.0000,3.3132,3.5277,3.8008,4.3785,4.5315,5.0293,5.3261
1,3.0000,3.2057,3.5743,3.9492,3.9758,4.3807,4.6480,4.9702
1,3.0000,3.2648,3.6286,3.8408,4.0440,4.2249,4.4227,4.5718
1,3.0000,3.0568,3.2536,3.6148,3.8423,4.0040,4.3670,4.6453
1,3.0000,3.3507,3.7614,4.3958,4.7292,5.0412,5.2272,5.5765
1,3.0000,3.3839,3.7132,4.1341,4.4680,4.7654,4.9050,5.3581
1,3.0000,3.3240,3.3240,3.5421,3.8995,4.1828,4.7189,5.1127
1,3.0000,3.0000,3.3428,3.6940,3.8520,4.2731,4.6552,4.7804
1,3.0000,3.2892,3.5493,3.7429,4.1398,4.4748,4.7272,4.8299
1,3.0000,3.4957,3.6002,4.1297,4.1297,4.5268,4.9673,5.2264
1,3.0000,3.2472,3.4086,3.7716,4.0064,4.4371,4.7983,5.1681
1,3.0000,3.3483,3.6388,3.9099,4.2860,4.7182,5.1113,5.5537
1,3.0000,3.2555,3.3769,3.6606,4.0537,4.0718,4.4829,5.0098
1,3.0000,3.5988,3.8463,3.9899,4.3043,4.4052,4.5970,4.7632
