D1,D2,D3,D4,D5,D6,D7,D8
3.0000,3.6490,4.2111,5.1441,6.2757,6.8196,7.7992,7.9968
3.0000,3.6282,4.4325,5.3521,5.7638,6.3261,7.3855,8.0752
3.0000,3.4777,3.6749,3.7772,4.0290,4.1999,4.4425,4.6348
3.0000,3.4104,3.6758,3.7247,3.8054,3.9039,3.9058,3.9058
3.0000,3.2127,3.5515,3.7448,3.8081,3.9497,4.3106,4.4196
3.0000,3.1750,3.7511,3.7511,4.0416,4.0416,4.1165,4.1262
3.0000,3.4755,3.6356,3.9370,4.2689,4.2689,4.5629,4.5833
3.0000,3.1049,3.3098,3.3165,3.5598,3.8285,3.9546,3.9546
3.0000,3.0000,3.0000,3.0000,3.2351,3.2351,3.6159,3.9640
3.0000,3.3244,3.4993,3.6855,3.8857,3.9058,3.9837,4.0167
3.0000,3.4123,3.6933,3.7490,3.8457,3.8457,3.8776,4.2631
3.0000,3.2251,3.6364,4.0102,4.1124,4.1176,4.3178,4.4798
3.0000,3.7314,4.3751,5.0925,5.7965,6.2897,6.8966,7.1416
3.0000,3.1936,3.5265,3.7601,3.9032,4.2945,4.5510,4.5510
3.0000,3.2517,3.5876,3.7023,3.9146,3.9441,4.1704,4.4852
3.0000,3.5493,4.5728,4.8632,5.3440,5.9178,7.0866,7.7709
3.0000,3.1411,3.5645,3.7032,3.8416,3.9816,4.3224,4.8476
3.0000,3.4987,4.0367,4.3962,4.9468,5.7816,6.3222,6.9219
3.0000,4.1233,4.5138,4.5138,4.6936,5.0615,6.0644,6.8561
3.0000,3.3190,3.4585,3.5391,3.6528,3.6588,4.1164,4.5742
3.0000,3.0990,3.2495,3.3325,3.3893,3.9992,4.0287,4.1367
3.0000,3.8943,4.5384,4.5700,5.2937,5.6267,5.9789,6.8925
3.0000,3.7091,4.5484,5.4323,6.2681,7.0771,8.0686,9.1124
3.0000,3.1455,3.2304,3.5465,3.8017,3.8017,4.0993,4.3810
3.0000,3.2305,3.2305,3.6514,3.7667,3.9052,4.2158,4.3857
3.0000,4.2785,5.2548,6.4530,7.7602,8.9802,10.0757,11.4200
3.0000,4.1962,4.9007,5.6766,6.1558,6.7985,6.9639,7.7129
3.0000,3.2034,3.2460,3.7310,3.7310,3.7803,3.8606,3.8760
3.0000,3.9076,4.4653,4.8022,5.3565,6.1686,6.8048,7.4205
3.0000,3.1715,3.1715,3.4112,3.7729,3.9853,4.1009,4.3841
3.0000,3.3266,3.3266,3.4351,3.8622,4.0671,4.2132,4.2132
3.0000,3.2804,3.3237,3.6656,3.9075,3.9932,4.3806,4.4887
3.0000,3.1600,3.6336,3.7666,4.0402,4.1047,4.3821,4.5645
3.0000,3.8085,4.5108,5.1852,5.5925,6.4525,6.9771,7.3102
3.0000,3.8549,4.5171,5.4679,6.4169,7.0222,7.5743,8.3560
3.0000,3.0954,3.2237,3.2833,3.2833,3.4669,3.7431,3.8076
3.0000,3.1329,3.4055,3.5691,3.9800,4.1534,4.2637,4.2637
3.0000,3.5184,3.6462,3.7069,3.7772,3.8462,3.9419,4.1459
3.0000,3.3169,3.5299,3.8546,4.0688,4.1886,4.4987,4.8936
3.0000,3.1767,3.4051,3.6747,3.7871,4.0059,4.0059,4.4025
3.0000,3.1169,3.1609,3.2823,3.2823,3.4295,3.5645,3.5645
3.0000,3.4215,3.5809,3.6709,3.9771,4.1083,4.2564,4.5888
3.0000,3.7761,4.3412,5.2914,6.1443,7.2470,8.0531,8.9307
3.0000,3.2391,3.8366,3.9889,4.4451,4.5061,4.6998,4.9355
3.0000,3.0876,3.0876,3.3583,3.6963,3.7741,3.9869,3.9869
3.0000,3.1924,3.5806,4.0718,4.3494,4.6987,4.7696,4.9090
3.0000,3.3376,3.6864,3.8258,4.1503,4.3311,4.3311,4.4236
3.0000,3.2238,3.3195,3.3195,3.4012,3.6569,3.8035,4.0659
3.0000,3.1765,3.3386,3.3386,3.5410,3.8235,3.9155,4.4331
3.0000,3.0000,4.3154,4.5968,5.3696,6.2573,7.3874,7.9591
3.0000,3.1661,3.6267,3.6858,3.7530,3.8429,4.2443,4.3684
3.0000,4.0558,5.2130,6.4807,7.2244,8.0816,9.3863,10.3400
3.0000,3.2085,3.2180,3.5864,3.6313,4.0739,4.2036,4.3917
3.0000,3.2698,4.4771,5.2972,6.1923,6.9542,7.8507,8.6379
3.0000,3.0000,3.0965,3.3855,3.6505,3.8971,3.9447,4.3801
3.0000,3.8126,4.1389,4.6661,5.2954,5.4854,6.2889,6.5239
3.0000,3.1745,3.4019,3.7246,3.8313,4.0091,4.2645,4.5725
3.0000,3.2065,3.4621,3.7129,3.9529,4.2848,4.2848,4.4558
3.0000,3.2016,3.5160,3.8204,4.1386,4.2639,4.5525,4.6625
3.0000,3.0862,3.2778,3.3170,3.5734,3.8484,4.0557,4.3900
3.0000,4.0337,4.7822,4.7822,5.2488,5.6005,5.9179,6.9989
3.0000,3.0470,3.3096,3.5446,3.6887,4.1055,4.1996,4.3667
3.0000,4.0604,5.2566,6.3239,7.5789,8.5304,9.2660,9.9314
3.0000,3.1464,3.3545,3.6343,3.8682,4.2101,4.7094,5.1917
3.0000,3.7785,4.0284,4.5184,5.5286,6.2383,7.3979,8.2608
3.0000,3.3488,3.3675,4.1562,4.7121,5.9774,7.0424,7.9072
3.0000,3.0000,3.2487,3.3616,3.7460,4.0963,4.3613,4.6086
3.0000,3.0127,3.2502,3.5301,3.5956,3.9704,4.4951,4.6778
3.0000,4.1504,5.3825,6.5308,7.6565,8.2512,8.9717,9.7222
3.0000,3.7405,4.5573,5.3465,6.4003,7.2032,8.0892,8.7994
3.0000,3.4295,3.9762,4.1874,4.4815,4.6993,4.9107,5.1020
3.0000,3.2166,3.3477,3.7739,3.8713,4.1184,4.5004,4.5884
3.0000,4.1395,5.1732,6.3096,7.1781,8.1642,9.1793,10.2929
3.0000,3.4730,4.1257,4.5908,5.5010,6.5890,7.1496,7.8271
3.0000,3.2465,3.3591,3.6246,3.9413,4.1244,4.7521,4.9502
3.0000,3.1047,3.2562,3.7206,4.1981,5.1291,6.0505,6.5658
3.0000,3.2937,3.4084,3.5937,4.0079,4.1957,4.5798,5.0178
3.0000,3.0000,3.3994,3.7536,3.7822,4.1848,4.3491,4.4241
3.0000,3.1743,3.4644,3.8886,4.0595,4.2852,4.4820,4.7833
3.0000,3.9780,4.2656,4.4826,5.5830,6.2223,7.0113,7.7059
3.0000,4.0590,5.3509,6.5391,7.4089,8.3620,9.7294,10.9359
3.0000,4.0672,5.0232,6.1516,7.4465,8.2476,9.1964,9.8922
3.0000,3.0000,3.1394,3.6240,3.6240,4.0547,4.3230,4.5748
3.0000,3.0000,3.2843,3.4449,3.7793,3.7793,3.8967,4.0607
3.0000,3.0000,3.1485,3.2612,3.5571,3.7760,4.1096,4.2147
3.0000,4.2219,4.9051,5.8955,6.5041,7.8353,8.6587,9.9158
3.0000,4.1125,5.1008,5.9644,7.3582,8.6044,9.1351,10.2323
3.0000,3.0000,3.2535,3.2819,3.6334,3.7857,3.9519,4.2000
3.0000,3.1522,3.3364,3.4820,3.5726,3.7905,3.9721,4.2341
3.0000,3.9630,5.1219,6.1535,7.2432,8.1225,9.0871,10.5243
3.0000,3.2653,3.6987,4.2689,4.6525,5.1517,5.6201,5.9945
3.0000,3.1311,3.5287,3.6644,3.6644,3.9473,4.3305,4.5665
3.0000,3.0769,3.1483,3.4127,3.6058,3.8690,4.1348,4.2832
3.0000,4.0872,4.9898,5.8297,6.9763,8.2220,8.9628,9.9185
3.0000,3.0687,3.3763,3.5158,3.7213,4.0711,4.1739,4.4280
3.0000,3.7238,4.6075,5.8216,6.7933,7.9183,8.8825,9.3662
3.0000,3.2771,3.6180,3.7776,3.8353,4.0980,4.4237,4.6427
3.0000,3.1054,3.4135,3.5407,3.7071,4.0430,4.2111,4.2796
3.0000,3.3246,3.7331,4.0464,4.1644,4.2635,4.3640,4.3846
3.0000,4.0189,4.4473,5.5899,5.6819,6.4355,6.8017,7.6929
3.0000,3.2736,3.6317,3.9112,3.9112,4.4086,4.5950,4.8210
3.0000,4.3691,5.4080,6.4486,7.3904,8.0046,8.8382,9.9770
3.0000,3.5243,4.6241,5.6118,5.8055,5.9492,6.1051,6.6120
3.0000,3.1139,3.3938,3.5895,3.7486,3.7486,3.9587,4.2419
3.0000,4.3628,5.1969,6.1041,7.2503,8.3630,9.3278,10.3067
3.0000,3.1838,3.1838,3.3589,3.5409,3.6859,4.1352,4.4610
3.0000,3.2706,3.4079,3.7683,4.1628,4.4186,4.6276,4.9175
3.0000,3.2956,3.4092,3.4092,3.6292,3.7338,3.8892,4.4704
3.0000,3.9995,4.7803,6.1178,6.9547,8.0760,8.8865,9.5675
3.0000,3.8368,4.8974,5.8122,7.0812,8.1323,9.2006,9.7392
3.0000,3.2745,3.2745,3.4810,3.8448,3.9480,4.3083,4.5141
3.0000,3.4802,4.0436,4.2591,4.8163,4.9817,5.2871,5.5973
3.0000,3.2528,3.5690,3.8167,3.9900,4.2023,4.2023,4.4170
3.0000,3.1228,3.4247,3.6009,3.6009,3.9402,3.9850,4.4691
3.0000,3.5652,4.3802,5.7735,6.8556,7.8217,9.0500,10.4397
3.0000,3.1375,3.2693,3.7253,3.7253,3.9798,4.3090,4.6722
3.0000,3.2516,3.3969,3.6314,3.7835,4.0849,4.2128,4.4670
3.0000,4.1714,4.8537,5.8045,6.5524,7.2425,7.8742,8.7694
3.0000,3.1076,3.5593,3.8286,4.3464,4.6378,4.9745,4.9745
3.0000,4.0792,4.5432,5.1212,5.5284,6.3159,7.2639,8.1853
3.0000,3.9389,4.7278,5.0978,6.1238,6.3306,7.2300,7.6532
3.0000,3.2379,3.4206,3.6005,4.1399,4.2113,4.2977,4.5284
3.0000,3.5393,3.7838,4.0464,4.2802,4.4262,4.4262,4.6844
3.0000,3.4736,3.4958,3.5899,3.8399,3.8932,4.0786,4.0786
3.0000,3.0057,3.2656,3.4238,3.5090,3.7669,4.1659,4.3827
3.0000,3.3973,3.5080,3.5457,3.8114,4.1444,4.3747,4.6840
3.0000,3.2615,3.3895,3.6558,3.8930,4.1106,4.4062,4.6040
3.0000,3.1076,4.1668,5.3227,5.8771,6.7984,7.7378,8.3190
3.0000,3.1817,3.5017,3.5741,3.8099,4.2890,4.6141,4.8389
3.0000,3.0000,3.2264,3.4916,3.7043,4.0791,4.2967,4.5525
3.0000,3.5269,3.8690,3.9413,4.3314,4.7344,4.9040,5.1316
3.0000,3.0367,3.2206,3.4514,3.5915,4.0045,4.2654,4.5921
3.0000,3.2947,3.5520,3.6168,3.7722,3.8314,4.0038,4.0038
3.0000,3.4128,3.7786,3.7786,3.7786,4.1526,4.4874,4.6615
3.0000,3.0000,3.1478,3.3534,3.7107,3.8626,4.1059,4.3634
3.0000,3.1360,3.1792,3.1792,3.1792,3.2262,3.2262,3.5069
3.0000,3.4309,3.7468,3.9035,4.3298,4.5767,4.6846,4.8731
3.0000,3.6093,4.5287,5.4968,6.3500,7.6748,8.8238,10.1239
3.0000,3.1538,3.1760,3.3037,3.3037,3.5923,3.8149,3.9193
3.0000,3.2084,3.5306,3.7346,3.9282,4.4689,4.5320,4.6425
3.0000,3.5172,4.0333,4.4100,4.9615,5.7031,6.4189,6.5317
3.0000,3.6577,4.0042,5.0055,5.4223,6.1252,6.3426,7.4157
3.0000,3.0419,3.1073,3.2474,3.4068,3.5004,3.7954,4.1102
3.0000,3.1050,3.2843,3.3281,3.3281,3.7695,3.9553,4.1696
3.0000,3.9111,4.9928,5.7781,6.5352,7.1551,8.0678,8.7026
